Activity ID,Activity.Date,Activity.Name,Activity.Type,Activity.Description,Elapsed.Time.s,Distance.km,Relative.Effort,Commute,Activity.Gear,Filename,Month,Year,Day,start.time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168545827,"Jul 20, 2014, 4:58:14 PM",First Ride,Ride,"Long Lake, Olivia's Park",4017,15.74,,FALSE,,activities/168545827.gpx,7,2014,20,4:58:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169141943,"Jul 21, 2014, 11:31:14 PM",Sunfish Lake Park,Ride,With Isaac,2670,6.07,,FALSE,,activities/169141943.gpx,7,2014,21,1:31:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170713683,"Jul 25, 2014, 1:52:35 PM",Morning Ride,Ride,"Long Lake, Croixwood Route",2415,8.61,,FALSE,,activities/170713683.gpx,7,2014,25,1:52:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172652619,"Jul 29, 2014, 6:41:47 PM",And then It Poured,Ride,"Downtown, North, It Rained Hard",3473,13.11,,FALSE,,activities/172652619.gpx,7,2014,29,6:41:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174135482,"Aug 2, 2014, 12:34:58 AM",Evening Ride,Ride,"Stairs, Long Lake, Hale Pitstop, Nice Clouds",3849,13.93,,FALSE,,activities/174135482.gpx,8,2014,2,2:34:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183094076,"Aug 20, 2014, 9:12:46 PM",First Recovery,Ride,"Long Lake, First Since Lymes",2457,10.14,,FALSE,,activities/183094076.gpx,8,2014,20,9:12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183893407,"Aug 22, 2014, 6:02:17 PM",Gooseberry Falls,Hike,North Shore Trip,7223,5.27,,FALSE,,activities/183893407.gpx,8,2014,22,6:02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184275725,"Aug 23, 2014, 3:56:27 PM",Cascade River,Hike,North Shore Trip,3244,1.68,,FALSE,,activities/184275725.gpx,8,2014,23,3:56:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184352535,"Aug 23, 2014, 5:46:58 PM",Judge C. R. Magney Park,Hike,North Shore Trip,3613,3.54,,FALSE,,activities/184352535.gpx,8,2014,23,5:46:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184785568,"Aug 24, 2014, 3:56:27 PM",Temperance River,Hike,North Shore Trip,4031,2.83,,FALSE,,activities/184785568.gpx,8,2014,24,3:56:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
